study_id,table_index,row_index_in_table,author,year,country,theme,subtheme,objective,data,methodology,results_recommendations,cluster_id,taille_cluster,label_cluster,mots_cles_cluster
54,2,5,Kouamo (2024),2024,"ASS, 14 pays",Efficience et efficacité des systèmes éducatifs,Efficience et efficacité des systèmes éducatifs,"Evaluer la performance interne des systèmes éducatifs en Afrique subsaharienne, en se concentrant sur les performances académiques des élèves en lecture et en mathématiques en fonction du temps investi dans leur apprentissage.","PASEC, 2019",Analyse Bivariée Multiniveau,Résultats Les caractéristiques des élèves et des écoles influencent positivement la performance scolaire en lecture et en mathématiques. Certains attributs personnels des élèves (comme l'âge et les difficultés visuelles) montrent des impacts différenciés selon la matière considérée. Les résultats soulignent l'importance de corriger les problèmes d'endogénéité pour obtenir des estimations fiables. Recommandations Mettre en place des stratégies d'apprentissage qui intègrent la lecture dans les cours de mathématiques. Fournir un soutien supplémentaire aux élèves ayant des difficultés visuelles. Encourager le développement de l'autonomie dans le travail académique via des formations sur la gestion du temps et l'organisation des tâches.,4,4,Efficience et efficacité des systèmes éducatifs,"efficience, efficacite, ressources, apprentissage, politiques, etablissements"
55,2,6,"Ishii et Ogawa, (2024)",2024,Sénégal,Efficience et efficacité des systèmes éducatifs,Efficience et efficacité des systèmes éducatifs,"Examiner l'impact des caractéristiques de la gestion scolaire (School-Based Management, SBM) sur les résultats d'apprentissage dans l'éducation primaire au Sénégal.",PASEC 2019,Multilevel regression model,"Résultats Une participation accrue des parents et de la communauté est associée à des scores de lecture significativement plus élevés, indépendamment du genre des élèves. Bien que le partage d'informations ait montré une corrélation positive avec les résultats, l'autonomie scolaire n'a pas eu d'effet significatif sur les scores de lecture. La participation des parents et de la communauté peut contribuer à réduire les écarts d'apprentissage liés au genre. Recommandations Renforcer la Participation : Les politiques éducatives devraient favoriser la participation des parents et de la communauté dans la gestion scolaire pour améliorer l'apprentissage des élèves. Revoir l'Autonomie Scolaire : Une analyse plus approfondie est nécessaire pour comprendre pourquoi l'autonomie scolaire n'a pas produit d'effets significatifs sur les résultats d'apprentissage. Équité de Genre : Développer des interventions spécifiques visant à promouvoir l'égalité des sexes dans la participation scolaire et l'engagement des parents.",16,1,Efficience et efficacité des systèmes éducatifs,"participation, apprentissage, parents, communaute, genre, autonomie"
56,2,7,Servaas van der Berg (2008),2008,Afrique du Sud,Efficience et efficacité des systèmes éducatifs,Efficience et efficacité des systèmes éducatifs,Apprécier l’efficacité des écoles pauvres dans l’amélioration de leur résultats scolaire primaire.,SACMEQ II,Modèle hiérarchique linéaire à deux niveaux,"Résultats Les écoles pauvres ont été les moins à même de surmonter systématiquement les désavantages socio-économiques hérités. Cette étude montre que l'augmentation des ressources n'améliore pas nécessairement ou sans réserve le fonctionnement des écoles pauvres. Les différences socio-économiques en 2000 jouent encore un rôle majeur au niveau de l'école primaire en Afrique du Sud. Les rendements de l'éducation sur le marché du travail semble être convexe (c'est-à-dire que la contribution de l'éducation aux revenus aux revenus augmente fortement à mesure que le niveau d'éducation s'élève), il est probable que les différences de résultats scolaires se traduisent par une augmentation du taux de chômage. les différences de résultats scolaires étaient susceptibles de se traduire par d'importantes inégalités sur le marché du travail. Recommandations Les recommandations incluent des interventions précoces, l'amélioration des écoles défavorisées, l'utilisation efficace des ressources et l'attention portée à la conversion des ressources en résultats. Ces mesures visent à réduire les inégalités socio-économiques dans le système éducatif et à améliorer les performances scolaires.",18,1,Efficience et efficacité des systèmes éducatifs,"efficacite, pauvres, socio-economiques, ressources, differences, scolaires"
57,3,2,Wamala et Seruwagi (2012),2012,Ouganda,Principaux résultats et recommandations de politique éducative,Principaux résultats et recommandations de politique éducative,Investigation de l'influence de la compétence des enseignants sur la réussite académique des élèves de sixième dans les écoles primaires en Ouganda.,SACMEQ III,Régression linéaire multiple,"Résultats Une forte compétence des enseignants dans les disciplines de lecture et de numératie est liée à une réussite académique élevée des élèves dans ces mêmes disciplines. Variabilité des résultats : Les résultats peuvent ne pas être généralisables à tous les élèves dans tous les pays en raison des variations dans les caractéristiques des apprenants et l'environnement d'apprentissage. Recommandations Renforcement de la compétence des enseignants : L'étude suggère que pour améliorer la réussite académique des élèves dans l'éducation formelle, il est crucial de renforcer la compétence des enseignants.",2,11,Principaux résultats et recommandations de politique éducative,"enseignants, principaux, politique, educative, formation, ameliorer"
58,3,3,"Lee et al., (2018)",2018,"ASS, 14 pays",Principaux résultats et recommandations de politique éducative,Principaux résultats et recommandations de politique éducative,"Analyser la relation entre le genre des enseignants, le sexe des élèves et la réussite des élèves dans le cycle primaire.",PASEC 2014,MCO avec des erreurs standard corrigées,"Résultats Pour les filles, être enseignés par une enseignante augmente les performances en mathématiques et en lecture. Pour les garçons, cependant, le sexe de l'enseignant n'a aucun effet. Les garçons montrent de meilleures performances aux tests et une meilleure appréciation de la matière par rapport aux filles en lecture et en mathématiques lorsqu'ils sont enseignés par un enseignant masculin. Le contraire est vrai lorsque les élèves sont enseignés par des enseignantes Recommandations L'embauche de plus d'enseignantes dans la région peut réduire les écarts entre les sexes en matière d'éducation sans blesser les garçons.",2,11,Principaux résultats et recommandations de politique éducative,"enseignants, principaux, politique, educative, formation, ameliorer"
59,3,4,Venkat et Spaull (2015),2015,Afrique du Sud,Principaux résultats et recommandations de politique éducative,Principaux résultats et recommandations de politique éducative,Evaluer le niveau de connaissances des enseignants en mathématiques dans le cycle primaire et l’impact sur la performance scolaire.,SACMEQ III,Frary’s formula,"Résultats Les résultats indiquent que 79 % des enseignants de mathématiques de 6e année ont des niveaux de connaissance du contenu inférieurs à la norme. 17 % des élèves de 6e année en Afrique du Sud ont reçu un enseignement de mathématiques dont les connaissances étaient inférieures au niveau 4 ou 5, 62 % des élèves de 6e année ont reçu un enseignement de la part de professeurs de mathématiques ayant un niveau de connaissances inférieur à 4 ou 5. 62 % des élèves de 6e année ont reçu un enseignement de la part de professeurs de mathématiques ayant un niveau de connaissances de 4 ou 5, Recommandations L'activité de développement devrait commencer par se concentrer sur la consolidation et l'extension des vers une ""compréhension profonde"" du contenu dans les premières années intermédiaires (4e et 5e années en Afrique du Sud). Prêter attention, dans le cadre des activités de formation des enseignants à une orientation vers la résolution de problèmes dans laquelle les informations données sont utilisées pour trouver des informations inconnues, et en mettant l'accent sur le développement de la capacité des enseignants en mathématiques. .",20,1,Principaux résultats et recommandations de politique éducative,"mathematiques, niveau, connaissances, enseignants, annee, ont"
60,3,5,Armstrong (2015),2015,"ASS, 15 pays",Principaux résultats et recommandations de politique éducative,Principaux résultats et recommandations de politique éducative,"Évaluer la relation entre l'âge des enseignants et les résultats des élèves en mathématiques, en tenant compte de divers facteurs de contexte.",SACMEQ III,Modélisation Linéaire Hiérarchique,Résultats Les enseignants plus jeunes améliorent significativement les performances en mathématiques de leurs élèves par rapport à leurs collègues plus âgés. Cette relation forte entre l'âge des enseignants et la performance des élèves n'est pas observée dans d'autres pays voisins ou dans des données antérieures. Les changements dans la formation des enseignants au cours des années 2000 peuvent expliquer les différences observées dans la performance des enseignants plus jeunes. Recommandations Promouvoir des programmes de formation continue pour les enseignants afin de maintenir leur niveau de compétence. Développer des stratégies pour soutenir les enseignants plus âgés afin d'améliorer leur efficacité en classe.,2,11,Principaux résultats et recommandations de politique éducative,"enseignants, principaux, politique, educative, formation, ameliorer"
61,3,6,"Conto et al., (2023)",2023,ASS 14 pays,Principaux résultats et recommandations de politique éducative,Principaux résultats et recommandations de politique éducative,Examiner l'impact du genre des directeurs d'école sur la performance des élèves en lecture et en mathématiques,PASEC 2019,Régression linéaire,"Résultats Dans quatre pays (Bénin, Madagascar, Sénégal et Togo), les élèves des écoles dirigées par des femmes obtiennent des scores significativement meilleurs. Les résultats montrent que les filles et les garçons performent mieux dans les écoles dirigées par des femmes dans certains pays, mais pas dans tous. Les femmes directrices tendent à travailler dans des écoles mieux équipées et dans des zones urbaines, et sont plus susceptibles de tenir des réunions avec les parents et d'offrir des classes de soutien. Recommandations Augmenter le nombre de femmes dans des postes de direction scolaire pour améliorer la qualité de l'éducation. Investir dans la formation des directeurs d'école, en mettant l'accent sur les pratiques de gestion et de leadership qui favorisent l'apprentissage. Encourager les écoles dirigées par des femmes à adopter des pratiques de gestion participatives et inclusives pour renforcer l'engagement des parents et de la communauté.",2,11,Principaux résultats et recommandations de politique éducative,"enseignants, principaux, politique, educative, formation, ameliorer"
62,3,7,Sanfo (2020),2020,Burkina Faso,Principaux résultats et recommandations de politique éducative,Principaux résultats et recommandations de politique éducative,Analyser l'effet des caractéristiques liés aux directeurs d'école sur les acquis des élèves du primaire au Burkina Faso.,PASEC 2014,Modèle hiérarchique linéaire à trois niveaux,"Résultats Le fait d'être un directeur efficace n'est pas lié au genre. Un programme de préparation pertinent est associé à une meilleure performance des élèves. La qualité de la gestion de l'école, les pratiques de gestion communautaire et la formation pédagogique en cours d'emploi des directeurs peuvent contribuer à améliorer les résultats des élèves, mais à la condition que le contexte de l'école offre les conditions nécessaires à la réussite de l'école. Recommandations Le gouvernement devrait veiller à ce que tous les directeurs reçoivent une préparation nécessaire à leur poste avant de commencer leur carrière de gestionnaire. Pour les directeurs qui enseignent, en plus de la formation en gestion, une formation pédagogique basée sur les besoins de leurs élèves peut être dispensée.",2,11,Principaux résultats et recommandations de politique éducative,"enseignants, principaux, politique, educative, formation, ameliorer"
63,3,8,Foueka et Elomo (2022),2022,"ASS, 10 pays",Principaux résultats et recommandations de politique éducative,Principaux résultats et recommandations de politique éducative,Analyser l’impact de la formation professionnelle ou académique des enseignants sur la performance en fin et en début de scolarité primaire des élèves en Afrique francophone.,PASEC 2014,Modèle hiérarchique linéaire à deux niveaux,"Résultats La formation académique des enseignants impacte très faiblement sur la performance des élèves. La formation professionnel des enseignants à un impact positif mais uniquement sur les élèves faibles. Recommandations Améliorer la qualité de la formation professionnel des enseignants à l’instar de la durée du stage pratique, la formation en didactique et les formations complémentaires.",2,11,Principaux résultats et recommandations de politique éducative,"enseignants, principaux, politique, educative, formation, ameliorer"
64,3,9,Kanyongo et Brown (2013),2013,Namibie,Principaux résultats et recommandations de politique éducative,Principaux résultats et recommandations de politique éducative,Analyser la relation entre les pratiques pédagogiques des enseignants et leur connaissance du contenu en mathématiques chez les enseignants de l'école primaire en Namibie.,SACMEQ II,Analyse de Corrélation,"Résultats Les enseignants plus jeunes améliorent significativement les performances en mathématiques de leurs élèves, tandis que les enseignants plus âgés ont tendance à obtenir des résultats inférieurs. Les enseignants ayant une forte connaissance des mathématiques utilisent davantage d'équipements pratiques et encouragent la résolution de problèmes individuels. Les enseignants avec moins de connaissances en mathématiques privilégient des approches de groupe, des quiz et des devoirs, ce qui est associé à des performances inférieures des élèves. Recommandations Renforcer la formation des enseignants sur les stratégies pédagogiques efficaces pour améliorer l'enseignement des mathématiques. Développer des programmes de soutien pour les enseignants plus âgés afin d'améliorer leur engagement et leur efficacité en classe.",2,11,Principaux résultats et recommandations de politique éducative,"enseignants, principaux, politique, educative, formation, ameliorer"
65,3,10,"Bietenbeck et al., (2023)",2023,"ASS, 14 pays",Principaux résultats et recommandations de politique éducative,Principaux résultats et recommandations de politique éducative,"Study the effects of two dimensions of teacher quality, subject knowledge and didactic skills, on student learning in francophone Sub-Saharan Africa.",PASEC 2019,Modèle d’effets fixes.,"Résultats Teacher subject knowledge has a large positive effect on student achievement, whereas the effect of teacher didactic skills is comparatively small but imprecisely estimated. Differences in teacher subject knowledge account for 37 percent of the variation in average student achievement across countries. L'effet des compétences didactiques est positif mais comparativement faible et difficile à estimer avec précision. L'effet de la connaissance des matières est similaire pour les filles et les garçons, mais est plus prononcé dans les pays plus riches. Recommandations Les politiques devraient se concentrer sur le recrutement d'enseignants plus compétents en matière de connaissance des sujets. Étant donné les difficultés à recruter des enseignants qualifiés, la formation en cours d'emploi pour améliorer les compétences des enseignants actuels est recommandée. Les programmes de formation des enseignants doivent être conçus de manière à améliorer efficacement les compétences et l'apprentissage des élèves.",2,11,Principaux résultats et recommandations de politique éducative,"enseignants, principaux, politique, educative, formation, ameliorer"
66,3,11,Bonnet (2009),2009,"ASS, 19 pays",Principaux résultats et recommandations de politique éducative,Principaux résultats et recommandations de politique éducative,"Comparer les qualifications académiques et la formation professionnelle des enseignants, d'une part, avec les résultats des tests et le comportement des enseignants, d'autre part.","PASEC 2006, SACMEQ II",Analyse comparative,"Résultats Il en ressort que l'importance de certains facteurs externes liés à la gestion, tels que les heures d'apprentissage effectives en raison des taux élevés d'absentéisme et des retards dans la rentrée scolaire. Il reste difficile de mesurer la dynamique de la classe de manière fiable et précise. Recommandations Mener des études supplémentaires afin de poursuivre les recherches pour mieux comprendre les facteurs qui influencent la qualité de l'apprentissage et de l'enseignement dans les écoles africaines. Examiner ce qui se passe réellement en classe en se concentrant sur les pratiques et les interactions en classe pour évaluer l'impact sur l'apprentissage des élèves. Outre la formation des enseignants et leurs qualifications, il est crucial de considérer les facteurs externes tels que les retards de début de trimestre scolaire et l'absentéisme des enseignants et des élèves, qui peuvent avoir un impact significatif sur l'opportunité d'apprentissage des élèves.",2,11,Principaux résultats et recommandations de politique éducative,"enseignants, principaux, politique, educative, formation, ameliorer"
67,3,12,"Lauchande et al., (2017)",2017,Mozambique,Principaux résultats et recommandations de politique éducative,Principaux résultats et recommandations de politique éducative,Evaluer les compétences des enseignants et leurs effets sur les performances des élèves dans l'enseignement primaire supérieur au Mozambique.,SACMEQ II,Moindres carrés partiels (PLSPM) et le modèle linéaire hiérarchique (HLM),"Résultats Les résultats suggèrent que l'efficacité de l'enseignant a diminué drastiquement (de 2/3 à 1/3 de la variation expliquée), de 2000 à 2007, malgré l'absence de changements significatifs dans le profil des enseignants au cours de la même période. Recommandations Améliorer les conditions socio-économiques pour réduire la pauvreté et la malnutrition infantile. Renforcer la formation des enseignants pour mieux répondre aux besoins des élèves issus de milieux défavorisés. Mettre en place des interventions ciblées pour soutenir les élèves issus de milieux socio-économiques défavorisés. Renforcer la coordination entre l'éducation et d'autres secteurs tels que la santé, la nutrition et les services sociaux.",2,11,Principaux résultats et recommandations de politique éducative,"enseignants, principaux, politique, educative, formation, ameliorer"
68,3,13,Nafiou (2010),2010,Niger,Principaux résultats et recommandations de politique éducative,Principaux résultats et recommandations de politique éducative,Identifier les déterminants de la satisfaction D’enseigner au cycle de base 1 au Niger.,PASEC 2004,Econométrie des variables qualitatives binaires,"Résultats Au cycle de base 1,le statut des enseignants est un faible facteur de la satisfaction à enseigner, contrairement au nombre d'années de service. L’effectif pléthorique des écoles, la moyenne des élèves obtenue en fin d'années scolaires affecteraient négativement la satisfaction des enseignants. Les enseignants titulaires du baccalauréat ou plus seraient moins satisfaits que ceux qui ont un diplôme inférieur. Recommandations Les pouvoirs publics devraient généraliser l'utilisation du guide du maitre en mathématiques, recruter moins de volontaires ayant le baccalauréat et plus ou n'ayant aucun diplôme professionnel pédagogique, construire moins de classe en matériaux précaires.",12,1,Principaux résultats et recommandations de politique éducative,"satisfaction, enseignants, principaux, politique, educative, enseigner"
69,3,14,Chudgar (2015),2015,"ASS, 5 pays",Principaux résultats et recommandations de politique éducative,Principaux résultats et recommandations de politique éducative,Etudier la relation entre les enseignants contractuels et l'apprentissage des élèves étudiants dans cinq pays d'Afrique francophone,PASEC 2005,Analyse descriptive Régression simple,"Résultats Sur la base de cette analyse, les preuves pour ou contre cette forme de recrutement d'enseignants ne sont pas concluantes. Les résultats indiquent que ces relations varient Selon le contexte du pays et les attributs démographiques, les conditions de travail et les préférences des enseignants. Alors que les nations tentent d'enseigner à des millions d'élèves nouvellement inscrits, il est crucial le rôle des enseignants et, par extension, les politiques relatives à la préparation des enseignants, à leur recrutement et à leur rémunération dans divers contextes. Recommandations Renforcer la formation des enseignants. Améliorer les conditions de travail des enseignants contractuels. Mettre en place des mécanismes de soutien et d'encadrement pour les enseignants. Renforcer la supervision et l'évaluation des enseignants. Promouvoir la stabilité et la professionnalisation des enseignants.",2,11,Principaux résultats et recommandations de politique éducative,"enseignants, principaux, politique, educative, formation, ameliorer"
70,4,2,"Dickerson et al., (2015)",2015,ASS 19 pays,Facteurs socio-économiques et inégalités et participation communautaire,Facteurs socio-économiques et inégalités et participation communautaire,Examiner la différence entre les sexes dans les scores aux tests de mathématiques chez les enfants de l'école primaire.,"PASEC 2003, 2006 ; SACMEQ II",Analyse multivariée,"Résultats L'ampleur de l'écart (0,1 écart type ou 4 à 5% de la moyenne masculine en fin d'école primaire) est du même ordre de grandeur que celui observé dans les pays développés. Les différences de qualité de l'école entre les sexes, la discrimination au sein de l'école en matière d'accès aux ressources scolaires et les investissements parentaux inférieurs dans l'éducation des filles conditionnels à l'inscription n’expliquent pas les différences de performances entre les filles et les garçons. Les filles ne réussissent significativement moins bien que les garçons en mathématiques que dans certains environnements sociétaux, En Afrique subsaharienne, les différences de taux de fécondité expliquent près de la moitié de la variation transnationale de l'écart entre les sexes Recommandations Investir dans des politiques éducatives axées sur l'égalité des sexes. Sensibiliser aux stéréotypes de genre et promouvoir une attitude positive envers les capacités mathématiques des filles. Améliorer la formation des enseignants en incluant des modules sur l'égalité des sexes et les pratiques pédagogiques équitables. Garantir un accès équitable aux ressources scolaires pour réduire les disparités entre les sexes. Poursuivre la recherche pour mieux comprendre les facteurs influençant les performances en mathématiques des filles et évaluer l'efficacité des politiques et des programmes mis en place.",3,13,Facteurs socio-économiques et inégalités et participation communautaire,"facteurs, socio-economiques, participation, communautaire, inegalites, scolaires"
71,4,3,Kyei (2021),2021,"ASS, 15 pays",Facteurs socio-économiques et inégalités et participation communautaire,Facteurs socio-économiques et inégalités et participation communautaire,"Explorer les facteurs contribuant aux écarts de genre dans la réussite en lecture des élèves de sixième, en se concentrant sur 61 396 élèves issus de 15 pays dans le cadre de l'évaluation SACMEQ III.",SACMEQ III,Régression linéaire,"Résultats Dans près de la moitié des pays étudiés, les filles présentent un désavantage en lecture, contrairement à l'avantage féminin observé dans d'autres régions du monde. Des responsabilités domestiques et des environnements scolaires hostiles limitent la participation et la fréquentation scolaire des filles, contribuant ainsi à leur désavantage en lecture. Recommandations Les ménages et les écoles doivent garantir que les filles puissent assister et participer pleinement aux cours sans distractions ni craintes.",3,13,Facteurs socio-économiques et inégalités et participation communautaire,"facteurs, socio-economiques, participation, communautaire, inegalites, scolaires"
72,4,4,Miningou (2022),2022,ASS 10 pays,Facteurs socio-économiques et inégalités et participation communautaire,Facteurs socio-économiques et inégalités et participation communautaire,Comprendre l'écart entre les sexes en matière de résultats d'apprentissage dans l'enseignement primaire,PASEC 2014,Oaxaca-Blinder,"Résultats Les résultats montrent que l'amélioration des infrastructures scolaires et l'augmentation du nombre d'enseignants peuvent fortement contribuer à combler l'écart entre les sexes en mathématiques et à améliorer les résultats des filles et des garçons en lecture. Recommandations Créer un environnement éducatif favorable pour les filles en s'attaquant aux obstacles spécifiques auxquels elles sont confrontées dans l'apprentissage des mathématiques, en investissant dans des ressources et des infrastructures adéquates, et en reconnaissant le rôle crucial des enseignantes dans la réduction de l'écart entre les genres.",3,13,Facteurs socio-économiques et inégalités et participation communautaire,"facteurs, socio-economiques, participation, communautaire, inegalites, scolaires"
73,4,5,Zuze et Reddy (2014),2014,Afrique du Sud,Facteurs socio-économiques et inégalités et participation communautaire,Facteurs socio-économiques et inégalités et participation communautaire,Examiner les tendances de la maîtrise de la lecture en fonction du sexe (pourquoi les filles obtiennent de meilleurs résultats que les garçons) dans les écoles primaires sud-africaines,SACMEQ 2 et 3,Modèle hiérarchique linéaire à deux niveaux.,"Résultats Le lien entre l'augmentation des ressources disponibles et l'amélioration des résultats scolaires est plus fort pour les filles que pour les garçons. Cette constatation est restée la même pour tous les niveaux socio-économiques. Les filles semblent capables d'utiliser de manière plus efficace les ressources scolaires pour apprendre à lire. Cette étude a corroboré les conclusions de la littérature selon lesquelles, en ce qui concerne la lecture, les filles obtiennent de meilleurs résultats que les garçons. Bien que les origines des garçons et des filles soient similaires, les garçons sont plus nombreux que les filles à redoubler. Bien que les origines des garçons et des filles soient similaires, les garçons sont plus nombreux que les filles à redoubler. Recommandations La première priorité est d'améliorer les résultats en matière d'alphabétisation pour la population scolarisée, en commençant par les écoles primaires où les résultats sont très faibles. Le défi auquel sont confrontés les décideurs politiques est de savoir comment de s'assurer que l'investissement dans les ressources peut être réalisé de manière à ce que les bénéfices soient étendus à l'alphabétisation des garçons.",3,13,Facteurs socio-économiques et inégalités et participation communautaire,"facteurs, socio-economiques, participation, communautaire, inegalites, scolaires"
74,4,6,Barnett (2013),2013,Malawi,Facteurs socio-économiques et inégalités et participation communautaire,Facteurs socio-économiques et inégalités et participation communautaire,Déterminer dans quelle mesure l'implication de la communauté explique la variation des résultats des élèves dans les écoles primaires au Malawi.,SACMEQ II,Modèle hiérarchique linéaire à deux niveaux,"Résultats Les résultats montrent que l’engagement communautaire est composé de multiples effets qui peuvent être repartis en trois modes : "" soutien à l'apprenant "", "" financement "" et "" mise en réseau "". La régression de la lecture des élèves sur la mesure agrégée de l'engagement communautaire globale suggère une association positive et significative. Une augmentation d'un écart-type (ET) de l'engagement communautaire est associée à une augmentation de 0,14 écart-type de la lecture des élèves. Recommandations Les futures études du SACMEQ pourraient peut-être axer sur les aspects de l'implication des communautés liés à la gouvernance et à la gestion, en approfondissant les questions de responsabilité, ainsi qu'un examen plus approfondi des différents modes d'activités dans lesquels les communautés sont engagées.",3,13,Facteurs socio-économiques et inégalités et participation communautaire,"facteurs, socio-economiques, participation, communautaire, inegalites, scolaires"
75,4,7,Hossain et Bertta (2025),2025,"ASS, 14 pays",Facteurs socio-économiques et inégalités et participation communautaire,Facteurs socio-économiques et inégalités et participation communautaire,Examine l'association entre la participation de la communauté aux affaires scolaires et l'inégalité dans les réalisations par le statut socioéconomique.,PASEC 2019,Régression Multiples,"Résultats L'implication de la communauté n'est pas significativement associée à la réduction de l'écart de réussite mathématique entre élèves de différents statuts socio-économiques. Les ressources scolaires expliquent une part importante des écarts de réussite entre élèves de bas et haut SES. Les résultats restent similaires dans plusieurs spécifications et analyses de sensibilité. Recommandations Concentrer les efforts sur l'amélioration des ressources et des infrastructures scolaires pour réduire les inégalités. Mettre en place des programmes pour encourager une véritable participation de la communauté, en s'assurant que les voix des groupes marginalisés sont entendues.",3,13,Facteurs socio-économiques et inégalités et participation communautaire,"facteurs, socio-economiques, participation, communautaire, inegalites, scolaires"
76,4,8,Zhang (2006),2006,"ASS, 14 pays",Facteurs socio-économiques et inégalités et participation communautaire,Facteurs socio-économiques et inégalités et participation communautaire,Analyser le désavantage d'apprentissage des élèves des écoles primaires rurales en Afrique subsaharienne. et identifier les facteurs sous-jacents à de tels désavantages.,SACMEQ II,Analyse bivariée,"Résultats Les ressources scolaires sont des déterminants importants des écarts en matière de littératie entre les zones rurales et urbaines chez les élèves. Les différences entre les zones rurales et urbaines dans les résultats d'apprentissage sont en partie dues aux différences dans la façon dont les élèves abordent l'apprentissage. Recommandations L'amélioration des processus scolaires et le renforcement du soutien parental pour le travail académique des enfants. Une approche intégrée plutôt qu'une approche fragmentée est nécessaire, prenant en compte toutes les sources d'inégalité.",3,13,Facteurs socio-économiques et inégalités et participation communautaire,"facteurs, socio-economiques, participation, communautaire, inegalites, scolaires"
77,4,9,Sumida et Kawata (2021),2021,"ASS, 15 pays",Facteurs socio-économiques et inégalités et participation communautaire,Facteurs socio-économiques et inégalités et participation communautaire,Analyser les sources qui expliquent l’écart d’apprentissage entre les zones urbaines et rurales en Afrique subsaharienne.,SACMEQ II SACMEQ III,Oaxaca-Blinder,"Résultats L'écart d'apprentissage entre les zones urbaines et rurales au cours des dernières années est principalement attribué aux différences dans les caractéristiques de l'école et de la famille. Entre 2004 à 2011, l'attribution aux différences de caractéristiques de la famille est devenue légèrement supérieure à celle des différences de caractéristiques de l'école. Recommandations Investissement dans les ressources scolaires des zones rurales. Soutien aux familles dans les zones rurales. Accès à l'éducation préscolaire de qualité. Formation et développement professionnel des enseignants des zones rurales. Collecte de données régulières et recherche continue pour mieux comprendre les écarts d'apprentissage.",3,13,Facteurs socio-économiques et inégalités et participation communautaire,"facteurs, socio-economiques, participation, communautaire, inegalites, scolaires"
78,4,10,Burger (2011),2011,Zambie,Facteurs socio-économiques et inégalités et participation communautaire,Facteurs socio-économiques et inégalités et participation communautaire,Explore la mesure dans laquelle le biais urbain existant dans les résultats scolaires peut être attribué à des différences de ressources par rapport à des différences d'éducation.,SACMEQ II,Oaxaca-Blinder,"Résultats L'écart rural-urbain est attribuable à la fois à des différences dans la présence de ressources (55% de l'écart) et à des différences dans le rendement des ressources (45% de l'écart). Bien qu'un investissement supplémentaire en ressources soit indubitablement un pas dans la bonne direction, il n'aura pas l'impact nécessaire sur les performances des zones rurales et urbaines, si l'on ne s'attaque pas également au manque d'efficacité. Recommandation Des enquêtes supplémentaires sont nécessaires pour mieux comprendre les rendements plus faibles des inputs scolaires dans les zones rurales.",3,13,Facteurs socio-économiques et inégalités et participation communautaire,"facteurs, socio-economiques, participation, communautaire, inegalites, scolaires"
79,4,11,Foueka (2020),2020,"ASS, 10 pays",Facteurs socio-économiques et inégalités et participation communautaire,Facteurs socio-économiques et inégalités et participation communautaire,"Décomposer par quantile les performances des élèves dans les pays PASEC selon le genre, le milieu d'habitation et le type d’école afin de trouver les éléments clivants dont la suppression permettrait d'assurer l'objectif d'apprentissage pour tous.",PASEC 2014,"Régression quantile inconditionnelle utilisant le modèle de utilisant le modèle de Firpo et al., (2018).","Résultats Chez les élèves faibles, les variables telles que l’équipement de l’école, le budget de l’école, le niveau de vie, le degré de motivation de l’élève ont un effet positif tandis que le statut de l'enseignant en maths (ce qui questionne la formation des enseignants), son absence, l'exécution d'un programme de coopération dans l’école et les travaux extrascolaires faits par l’élève ont un effet négatif. Suivant le genre, le différentiel est beaucoup plus expliqué par les facteurs rendements en maths et par les facteurs caractéristiques en lecture. La décomposition contrefactuelle montre que le changement de caractéristiques entre les différents groupes considérés entraine une baisse de l'effet caractéristique suivant le lieu. Recommandation Agir sur les caractéristiques des ressources scolaires dont les plus significatives sont les infrastructures scolaires, la baisse des travaux extrascolaires et le niveau d’éducation et de vie familiale.",3,13,Facteurs socio-économiques et inégalités et participation communautaire,"facteurs, socio-economiques, participation, communautaire, inegalites, scolaires"
80,4,12,Kanyongo et Ayieko (2017),2017,Kenya et Zimbabwe.,Facteurs socio-économiques et inégalités et participation communautaire,Facteurs socio-économiques et inégalités et participation communautaire,"Analyser la relation entre le statut socio-économique (SES), les variables scolaires et la performance en mathématiques des élèves de sixième en Kenya et au Zimbabwe.",SACMEQ III,Modèles linéaires hiérarchiques,"Résultats Un niveau socioéconomique plus élevé est associé à de meilleures performances en mathématiques dans les deux pays étudiés. Au Kenya, une taille de classe plus petite est liée à de meilleures performances, tandis qu'au Zimbabwe, une taille de classe plus grande semble être associée à des performances supérieures. Les ressources scolaires sont un prédicteur positif des résultats en mathématiques ; des écoles mieux équipées montrent de meilleures performances, quel que soit le niveau socioéconomique des élèves. Recommandations Les décideurs devraient se concentrer sur l'amélioration des ressources scolaires et la gestion de la taille des classes pour améliorer les résultats des élèves. Encourager des études supplémentaires pour explorer comment les différents facteurs socio-économiques et scolaires interagissent dans le contexte africain.",3,13,Facteurs socio-économiques et inégalités et participation communautaire,"facteurs, socio-economiques, participation, communautaire, inegalites, scolaires"
